"","diff","lwr","upr","p adj","response"
"Gracilaria tikvahiae-Codium fragile",25.8166666666667,-11.1086095176671,62.7419428510005,0.318221933703056,"Consumer abundance"
"Gracilaria vermiculophylla-Codium fragile",47.4833333333333,10.5580571489996,84.4086095176671,0.00556610953408898,"Consumer abundance"
"Gymnogongrus griffithsiae-Codium fragile",108.033333333333,71.1080571489996,144.958609517667,9.74151836974357e-09,"Consumer abundance"
"3 species native-Codium fragile",64.4333333333333,27.5080571489996,101.358609517667,0.000119180452996637,"Consumer abundance"
"3 species invasive-Codium fragile",89.7833333333333,52.8580571489996,126.708609517667,4.15240297479968e-07,"Consumer abundance"
"4 species-Codium fragile",66.0333333333333,29.1080571489996,102.958609517667,8.25809276174816e-05,"Consumer abundance"
"Gracilaria vermiculophylla-Gracilaria tikvahiae",21.6666666666667,-15.2586095176671,58.5919428510004,0.520642617566402,"Consumer abundance"
"Gymnogongrus griffithsiae-Gracilaria tikvahiae",82.2166666666667,45.2913904823329,119.141942851001,2.14878400495166e-06,"Consumer abundance"
"3 species native-Gracilaria tikvahiae",38.6166666666666,1.69139048233286,75.5419428510004,0.0359079166419566,"Consumer abundance"
"3 species invasive-Gracilaria tikvahiae",63.9666666666666,27.0413904823329,100.891942851,0.000132649661929274,"Consumer abundance"
"4 species-Gracilaria tikvahiae",40.2166666666666,3.29139048233287,77.1419428510004,0.0260283827583097,"Consumer abundance"
"Gymnogongrus griffithsiae-Gracilaria vermiculophylla",60.5500000000001,23.6247238156663,97.4752761843339,0.000290577094100519,"Consumer abundance"
"3 species native-Gracilaria vermiculophylla",16.95,-19.9752761843338,53.8752761843338,0.767106058982173,"Consumer abundance"
"3 species invasive-Gracilaria vermiculophylla",42.3,5.37472381566621,79.2252761843338,0.0169325753466859,"Consumer abundance"
"4 species-Gracilaria vermiculophylla",18.55,-18.3752761843338,55.4752761843338,0.687262395105201,"Consumer abundance"
"3 species native-Gymnogongrus griffithsiae",-43.6000000000001,-80.5252761843339,-6.6747238156663,0.0128766919115679,"Consumer abundance"
"3 species invasive-Gymnogongrus griffithsiae",-18.2500000000001,-55.1752761843339,18.6752761843337,0.702765042572359,"Consumer abundance"
"4 species-Gymnogongrus griffithsiae",-42.0000000000001,-78.9252761843339,-5.07472381566629,0.0180266871450189,"Consumer abundance"
"3 species invasive-3 species native",25.35,-11.5752761843338,62.2752761843338,0.338517989162397,"Consumer abundance"
"4 species-3 species native",1.60000000000001,-35.3252761843338,38.5252761843338,0.999999305709921,"Consumer abundance"
"4 species-3 species invasive",-23.75,-60.6752761843338,13.1752761843338,0.413421425229795,"Consumer abundance"
"Gracilaria tikvahiae-Codium fragile1",0.140016666666667,-0.0774771476242187,0.357510480957553,0.412365154715885,"Consumer biomass"
"Gracilaria vermiculophylla-Codium fragile1",0.17055,-0.0469438142908855,0.388043814290886,0.202092779773462,"Consumer biomass"
"Gymnogongrus griffithsiae-Codium fragile1",0.4941,0.276606185709115,0.711593814290886,1.48899275409509e-06,"Consumer biomass"
"3 species native-Codium fragile1",0.22375,0.00625618570911457,0.441243814290886,0.0406610829785002,"Consumer biomass"
"3 species invasive-Codium fragile1",0.3557,0.138206185709114,0.573193814290886,0.000301482554902255,"Consumer biomass"
"4 species-Codium fragile1",0.26585,0.0483561857091145,0.483343814290886,0.0092748761274023,"Consumer biomass"
"Gracilaria vermiculophylla-Gracilaria tikvahiae1",0.0305333333333332,-0.186960480957552,0.248027147624219,0.999300541726658,"Consumer biomass"
"Gymnogongrus griffithsiae-Gracilaria tikvahiae1",0.354083333333333,0.136589519042448,0.571577147624219,0.000321073274451078,"Consumer biomass"
"3 species native-Gracilaria tikvahiae1",0.0837333333333333,-0.133760480957552,0.301227147624219,0.879953006503774,"Consumer biomass"
"3 species invasive-Gracilaria tikvahiae1",0.215683333333333,-0.00181048095755254,0.433177147624219,0.0530426674421256,"Consumer biomass"
"4 species-Gracilaria tikvahiae1",0.125833333333333,-0.0916604809575525,0.343327147624219,0.53683310411891,"Consumer biomass"
"Gymnogongrus griffithsiae-Gracilaria vermiculophylla1",0.32355,0.106056185709115,0.541043814290886,0.00104988836117059,"Consumer biomass"
"3 species native-Gracilaria vermiculophylla1",0.0532,-0.164293814290886,0.270693814290886,0.985491085095082,"Consumer biomass"
"3 species invasive-Gracilaria vermiculophylla1",0.18515,-0.0323438142908858,0.402643814290886,0.135345464963157,"Consumer biomass"
"4 species-Gracilaria vermiculophylla1",0.0953,-0.122193814290886,0.312793814290886,0.802421898525614,"Consumer biomass"
"3 species native-Gymnogongrus griffithsiae1",-0.27035,-0.487843814290886,-0.0528561857091145,0.00786372233316546,"Consumer biomass"
"3 species invasive-Gymnogongrus griffithsiae1",-0.1384,-0.355893814290886,0.0790938142908854,0.425940945986484,"Consumer biomass"
"4 species-Gymnogongrus griffithsiae1",-0.22825,-0.445743814290886,-0.0107561857091145,0.0349586533030239,"Consumer biomass"
"3 species invasive-3 species native1",0.13195,-0.0855438142908858,0.349443814290886,0.481857670406709,"Consumer biomass"
"4 species-3 species native1",0.0421,-0.175393814290886,0.259593814290886,0.995797993894953,"Consumer biomass"
"4 species-3 species invasive1",-0.0898499999999999,-0.307343814290886,0.127643814290886,0.841377714395409,"Consumer biomass"
"Gracilaria tikvahiae-Codium fragile2",2.38333333333333,1.04137513093481,3.72529153573185,9.16282828257176e-05,"Consumer richness"
"Gracilaria vermiculophylla-Codium fragile2",2.86666666666667,1.52470846426815,4.20862486906519,4.50168259269468e-06,"Consumer richness"
"Gymnogongrus griffithsiae-Codium fragile2",3.91666666666667,2.57470846426815,5.25862486906519,1.02588476602605e-08,"Consumer richness"
"3 species native-Codium fragile2",3.11666666666667,1.77470846426815,4.45862486906518,9.89665018824581e-07,"Consumer richness"
"3 species invasive-Codium fragile2",3.46666666666667,2.12470846426815,4.80862486906519,1.268883148553e-07,"Consumer richness"
"4 species-Codium fragile2",4.11666666666667,2.77470846426815,5.45862486906519,3.51423234956627e-09,"Consumer richness"
"Gracilaria vermiculophylla-Gracilaria tikvahiae2",0.483333333333334,-0.858624869065185,1.82529153573185,0.909084175810558,"Consumer richness"
"Gymnogongrus griffithsiae-Gracilaria tikvahiae2",1.53333333333333,0.191375130934815,2.87529153573185,0.0173221165238258,"Consumer richness"
"3 species native-Gracilaria tikvahiae2",0.733333333333333,-0.608624869065187,2.07529153573185,0.600646319393157,"Consumer richness"
"3 species invasive-Gracilaria tikvahiae2",1.08333333333333,-0.258624869065186,2.42529153573185,0.176722793332998,"Consumer richness"
"4 species-Gracilaria tikvahiae2",1.73333333333333,0.391375130934814,3.07529153573185,0.00531409825168272,"Consumer richness"
"Gymnogongrus griffithsiae-Gracilaria vermiculophylla2",1.05,-0.291958202398519,2.39195820239852,0.204086496408994,"Consumer richness"
"3 species native-Gracilaria vermiculophylla2",0.249999999999998,-1.09195820239852,1.59195820239852,0.996590884254007,"Consumer richness"
"3 species invasive-Gracilaria vermiculophylla2",0.6,-0.74195820239852,1.94195820239852,0.787593125673081,"Consumer richness"
"4 species-Gracilaria vermiculophylla2",1.25,-0.0919582023985206,2.59195820239852,0.0804243548489655,"Consumer richness"
"3 species native-Gymnogongrus griffithsiae2",-0.800000000000002,-2.14195820239852,0.541958202398517,0.50228866368413,"Consumer richness"
"3 species invasive-Gymnogongrus griffithsiae2",-0.450000000000001,-1.79195820239852,0.891958202398519,0.93347703381934,"Consumer richness"
"4 species-Gymnogongrus griffithsiae2",0.199999999999998,-1.14195820239852,1.54195820239852,0.999017714298582,"Consumer richness"
"3 species invasive-3 species native2",0.350000000000001,-0.991958202398518,1.69195820239852,0.979904518072193,"Consumer richness"
"4 species-3 species native2",1,-0.341958202398519,2.34195820239852,0.25086110003766,"Consumer richness"
"4 species-3 species invasive2",0.649999999999999,-0.69195820239852,1.99195820239852,0.7213161908276,"Consumer richness"
